Id,TaskNo,WmsTaskNo,TaskType,DeviceCode,DeviceType,Barcode,FromNode,ToNode,Priority,Status,RunStatus,SendTime,FinishTime,SendTask,Seq,WarehouseId,CreateTime,UpdateTime,CreateUserId,UpdateUserId,IsDelete
23112868946245,13190,20251110000001,Task_OutBound,FRGV08,FRGV,T006615,04-032-008,2020,999,1,1,2025-11-10 08:28:16.153,2025-11-10 08:34:27.570,13190.0,1,1,2025-11-10 08:28:10.663,,,,0
23112868946246,13190,20251110000001,Task_OutBound,Lift02,Lift,T006615,2020,3014,999,1,1,2025-11-10 08:35:21.427,2025-11-10 08:36:30.213,,2,1,2025-11-10 08:28:10.663,,,,0
23112868946247,13190,20251110000001,Task_OutBound,3014,Convery,T006615,3014,3013,999,1,1,2025-11-10 08:36:30.537,2025-11-10 08:42:06.153,,3,1,2025-11-10 08:28:10.663,,,,0
23112869697605,13191,20251110000002,Task_Move,FRGV13,FRGV,T003893,02-030-008,17-014-008,999,1,1,2025-11-10 08:28:26.253,2025-11-10 08:33:15.517,13191.0,1,1,2025-11-10 08:28:16.533,,,,0
23112870338885,13192,20251110000003,Task_Move,FRGV04,FRGV,T008094,27-012-008,15-017-008,999,1,1,2025-11-10 08:28:26.303,2025-11-10 08:37:28.140,13192.0,1,1,2025-11-10 08:28:21.543,,,,0
23112871220421,13193,20251110000004,Task_Move,FRGV15,FRGV,T005221,12-034-010,22-028-010,999,1,1,2025-11-10 08:28:37.500,2025-11-10 08:35:14.850,13193.0,1,1,2025-11-10 08:28:28.430,,,,0
23112872138565,13194,20251110000005,Task_Move,FRGV03,FRGV,T009673,18-039-006,25-038-006,999,1,1,2025-11-10 08:28:47.437,2025-11-10 08:32:05.517,13194.0,1,1,2025-11-10 08:28:35.603,,,,0
23112873019845,13195,20251110000006,Task_Move,FRGV06,FRGV,T008406,12-007-008,17-021-008,999,1,1,2025-11-10 08:28:47.540,2025-11-10 08:37:39.060,13195.0,1,1,2025-11-10 08:28:42.487,,,,0
23112873800005,13196,20251110000007,Task_OutBound,FRGV11,FRGV,T010801,27-022-008,2020,999,1,1,2025-11-10 08:28:59.463,2025-11-10 08:32:08.977,13196.0,1,1,2025-11-10 08:28:48.583,,,,0
23112873800006,13196,20251110000007,Task_OutBound,Lift02,Lift,T010801,2020,3014,999,1,1,2025-11-10 08:32:09.853,2025-11-10 08:33:05.677,,2,1,2025-11-10 08:28:48.583,,,,0
23112873800007,13196,20251110000007,Task_OutBound,3014,Convery,T010801,3014,3013,999,1,1,2025-11-10 08:33:06.097,2025-11-10 08:33:51.460,,3,1,2025-11-10 08:28:48.583,,,,0
23112874684229,13197,20251110000008,Task_Move,FRGV02,FRGV,T008278,04-033-008,25-037-008,999,1,1,2025-11-10 08:28:59.563,2025-11-10 08:36:49.497,13197.0,1,1,2025-11-10 08:28:55.490,,,,0
23112875700421,13198,20251110000009,Task_Move,FRGV11,FRGV,T010764,27-020-008,09-037-008,999,1,1,2025-11-10 08:32:17.197,2025-11-10 08:37:35.440,13198.0,1,1,2025-11-10 08:29:03.430,,,,0
23112876709701,13200,20251110000010,Task_OutBound,FRGV07,FRGV,T008634,09-037-010,2022,999,1,1,2025-11-10 08:29:17.670,2025-11-10 08:34:33.253,13200.0,1,1,2025-11-10 08:29:11.313,,,,0
23112876709702,13200,20251110000010,Task_OutBound,Lift02,Lift,T008634,2022,3014,999,1,1,2025-11-10 08:36:55.057,2025-11-10 08:38:13.883,,2,1,2025-11-10 08:29:11.313,,,,0
23112876709703,13200,20251110000010,Task_OutBound,3014,Convery,T008634,3014,3013,999,1,1,2025-11-10 08:38:14.087,2025-11-10 08:42:50.407,,3,1,2025-11-10 08:29:11.313,,,,0
23112876982597,13202,20251110000011,Task_OutBound,FRGV10,FRGV,T009411,07-003-011,2023,999,1,1,2025-11-10 08:29:17.777,2025-11-10 08:37:11.373,13202.0,1,1,2025-11-10 08:29:13.447,,,,0
23112876982598,13202,20251110000011,Task_OutBound,Lift02,Lift,T009411,2023,3014,999,1,1,2025-11-10 08:38:38.157,2025-11-10 08:40:02.480,,2,1,2025-11-10 08:29:13.447,,,,0
23112876982599,13202,20251110000011,Task_OutBound,3014,Convery,T009411,3014,3013,999,1,1,2025-11-10 08:40:02.833,2025-11-10 08:43:48.277,,3,1,2025-11-10 08:29:13.447,,,,0
23112878008517,13204,20251110000012,Task_OutBound,FRGV01,FRGV,T009540,04-032-006,2018,999,1,1,2025-11-10 08:29:31.707,2025-11-10 08:33:56.970,13204.0,1,1,2025-11-10 08:29:21.463,,,,0
23112878008645,13204,20251110000012,Task_OutBound,Lift02,Lift,T009540,2018,3014,999,1,1,2025-11-10 08:33:58.733,2025-11-10 08:34:57.127,,2,1,2025-11-10 08:29:21.463,,,,0
